fips,100k index
05067,17.44023812
05069,4.260855239
05071,11.42857143
05073,14.47932353
05075,42.0132762
05077,0
05079,7.323003017
05081,24.20096481
05083,9.196332503
05085,13.86197356
05087,6.233714421
05089,6.089540605
05091,29.80817294
05093,16.33803869
05095,69.09131108
05097,33.38898164
05099,23.72591819
05101,12.76291607
05103,12.4453442
05105,9.675109812
05107,21.00818269
05109,18.50036076
05111,12.48938402
05113,29.77549278
05115,9.438414346
05117,60.63840109
05119,6.358485297
05121,28.38167679
05123,49.39510001
05125,2.544468834
05127,9.562606384
05129,25.26273242
05131,3.140412556
05133,23.30812172
05135,17.63212338
05137,0
05139,25.16356316
05141,35.89761999
05143,1.751006829
05145,5.082230489
05147,30.11413256
05149,23.20250216
06001,2.007242618
06003,277.5721688
06005,13.21912014
06007,3.970309146
06009,19.88185758
06011,28.06361085
06013,2.205907137
06015,10.96186732
06017,2.143443528
06019,6.859029339
06021,17.9446873
06023,8.104480009
06025,14.44024073
06027,11.09434632
06029,12.479644
06031,15.999808
06033,7.797027773
06035,19.33251278
06037,2.380536118
06039,9.052196257
06041,2.689725556
06043,11.41409184
06045,12.59751623
06047,15.25698342
06049,11.17043855
06051,14.0368608
06053,4.626493895
06055,5.707974326
06057,3.030082661
06059,1.741491153
06061,2.633733064
06063,16.10911239
06065,4.578749963
06067,3.644495983
06069,6.736342907
06071,7.548585226
06073,1.788863856
06075,1.266111849
06077,8.191247052
06079,5.690135155
06081,1.436876575
06083,3.157858647
06085,1.926831842
06087,2.193853262
06089,8.940325562
06091,0
06093,20.72395689
06095,3.42386176
06097,3.995074872
06099,6.311903061
06101,14.63351409
06103,18.91092011
06105,7.770853084
06107,9.354207283
06109,3.709212571
06111,2.598870484
06113,8.840029889
06115,5.309758008
08001,5.436824701
08003,24.96691883
08005,2.354608424
08007,23.26735745
08009,112.2964627
08011,17.13678582
08013,4.378867087
08015,10.4297038
08017,54.14185165
08019,10.66120813
08021,12.29558588
08023,135.8843353
08025,17.65599068
08027,43.19094718
08029,9.8928277
08031,2.597213709
08033,0
08035,2.129479665
08037,3.68250882
08039,7.943695089
08041,3.199911566
08043,14.89919629
08045,5.130362511
08047,0
08049,26.54667569
08051,24.29749857
08053,0
08055,30.40252949
08057,0
08059,1.929872639
08061,145.9854015
08063,65.52221203
08065,0
08067,7.2534726
08069,8.278933839
08071,7.054872801
08073,54.10474679
08075,17.86799128
08077,2.670244795
08079,536.3368195
08081,22.9751256
08083,11.58408501
08085,2.42416015
08087,24.71437247
08089,5.466452382
08091,21.18105566
08093,34.53475924
08095,23.17819396
08097,0
08099,33.33277779
08101,7.899460528
08103,31.06458327
08105,35.23546097
08107,12.11758908
08109,30.92528451
08111,140.1345291
08113,0
08115,42.75696939
08117,16.49609702
08119,4.143669302
08121,82.77460475
08123,23.32116352
08125,39.85492806
09001,2.436185188
09003,2.682466993
09005,4.371489148
09007,3.057677584
09009,4.073849818
09011,4.83917198
09013,6.611246789
09015,8.579301919
10001,5.147769586
10003,4.327692907
10005,11.38478101
11001,1.315791013
12001,11.03814096
12003,10.79385182
12005,5.468144232
12007,29.64412231
12009,4.338560431
12011,3.511832622
12013,27.71733858
12015,7.914388924
12017,5.594280408
12019,4.824652818
12021,5.495785831
12023,24.571232
12027,27.49518834
12029,6.085760537
12031,6.060814647
12033,3.853324488
12035,7.465263197
12037,0
12039,13.0332783
12041,17.01162461
12043,52.46275145
12045,6.230995464
12047,28.06151083
12049,29.41522532
12051,17.49011808
12053,4.929113866
12055,9.8126375
12057,5.092000983
12059,10.29813089
12061,12.59168737
12063,35.11830738
12065,14.1608961
12067,22.92211067
12069,8.047406976
12071,5.843079915
12073,4.516900156
12075,17.51681614
12077,11.96458483
12079,32.46437035
12081,6.689217356
12083,10.91918253
12085,6.984605929
12086,2.758215569
12087,13.12263629
12089,21.08568976
12091,6.481553499
12093,22.15428242
12095,5.44474162
12097,9.144165138
12099,3.874348245
12101,5.680789763
12103,2.089980778
12105,11.97350622
12107,16.49665943
12109,8.074571644
12111,4.258159781
12113,4.694108425
12115,6.795783314
12117,2.635526457
12119,12.39597709
12121,27.32240437
12123,18.12185133
12125,13.06557613
12127,6.828872625
12129,15.69523618
12131,9.134477782
12133,16.30736114
13001,27.08940588
13003,36.36980821
13005,35.70089788
13007,0
13009,13.24070723
13011,48.63182467
13013,16.90239
13015,13.51116601
13017,23.27855114
13019,10.50707126
13021,14.3384313
13023,15.65533221
13025,5.374321492
13027,25.63543843
13029,19.51458855
13031,14.71997259
13033,22.15565678
13035,16.82708488
13037,15.55645437
13039,5.694804061
13043,18.4774575
13045,14.65876128
13047,3.017638095
13049,23.12637795
13051,6.27068455
13053,46.6504945
13055,8.056070249
13057,2.481455258
13059,2.407955886
13061,33.34889615
13063,4.669328902
13065,44.64950141
13067,3.759911395
13069,6.98603724
13071,21.95929625
13073,5.435395568
13075,11.639682
13077,8.535664139
13079,8.114248621
13081,17.50516402
13083,36.96584356
13085,16.72352666
13087,22.35902634
13089,4.579482303
13091,9.550095023
13093,57.52664203
13095,6.618119086
13097,8.471656661
13099,9.648598059
13101,25.08528999
13103,13.62866654
13105,15.62142009
13107,17.7779358
13109,9.329750709
13111,4.011231448
13113,5.392851236
13115,11.35856725
13117,3.181060511
13119,26.62974009
13121,4.991280917
13123,10.02024089
13125,0
13127,17.88964237
13129,10.56765944
13131,8.017960231
13133,29.46723244
13135,2.88250574
13137,0
13139,7.15719344
13141,35.13785753
13143,3.452371088
13145,14.87847264
13147,3.905517715
13149,17.12915382
13151,9.500740605
13153,5.934757235
13155,21.6155459
13157,24.3494882
13159,7.257736747
13161,26.66951141
13163,19.02466865
13165,0
13167,0
13169,24.50757284
13171,0
13173,0
13175,18.98365718
13177,0
13179,4.848093083
13181,12.81985539
13183,5.498735291
13185,17.45441344
13187,0
13189,46.51811881
13191,28.34708167
13193,22.25552308
13195,10.37530953
13197,0
13199,18.94477598
13201,34.29002503
13205,17.84582988
13207,18.52592889
13209,11.08622869
13211,27.42581318
13213,12.64299224
13215,5.592335044
13217,7.517511102
13219,21.56869089
13221,6.762331111
13223,3.851145523
13225,18.47459005
13227,16.21796951
13229,10.43917614
13231,27.64324731
13233,12.03050937
13235,8.85692523
13237,13.95647441
13239,0
13241,6.079175178
13243,14.12429379
13245,5.952221518
13247,3.371900381
13249,19.20417883
13251,35.72449271
13253,23.7428178
13255,10.8184631
13257,3.899182731
13259,16.27021574
13261,19.74242713
13263,15.65239169
13265,122.3840411
13267,7.877489287
13269,36.63719408
13271,12.38083447
13273,11.30326664
13275,6.712490603
13277,7.406822177
13279,3.699127746
13281,8.75135646
13283,44.2699879
13285,15.76148009
13287,50.25757005
13289,36.21876132
13291,8.795693628
13293,0
13295,1.453095529
13297,4.443032547
13299,19.69135212
13301,93.67155008
13303,9.770204783
13305,20.14747955
13307,0
13309,37.71876886
13311,6.912330907
13313,9.622027515
13315,0
13317,0
13319,22.03565369
13321,53.28063394
15001,7.074337135
15003,0
15007,2.802368562
15009,2.423044119
16001,2.468437658
16003,49.8132005
16005,3.53315275
16007,16.77852349
16009,22.0143093
16011,13.18101933
16013,4.533297067
16015,13.95089286
16017,23.40769177
16019,0
16021,0
16023,0
16025,0
16027,8.013160438
16029,14.5327714
16031,25.44097693
16033,0
16035,23.16423442
16037,48.40271055
16039,18.87789776
16041,7.535227187
16043,38.57727027
16045,5.869233478
16047,39.65893317
16049,36.73769287
16051,10.73383663
16053,46.94234626
16055,5.21209989
16057,10.20746676
16059,12.84356537
16061,26.08922515
16063,93.58038555
16065,10.3364515
16067,43.76367615
16069,9.974316136
16071,23.17497103
16073,0
16075,4.344048653
16077,65.09569067
16079,47.96929965
16081,9.022013713
16083,15.53333094
16085,9.625565502
16087,9.991008093
17001,4.518671149
17003,0
17005,11.96358285
17007,3.733349262
17009,14.9727496
17011,20.97830843
17013,0
17015,6.867188573
17017,15.77287066
17019,5.725928435
17021,12.03615661
17023,31.57203475
17025,7.496701451
17027,7.968042836
17029,13.5309104
