fips,Total
,
,
,
Louisiana - Concordia,2
,
Louisiana - De Soto,3
,
Louisiana - East Baton Rouge,26
,
Louisiana - East Carroll,1
,
Louisiana - East Feliciana,7
,
Louisiana - Evangeline,1
,
Louisiana - Franklin,3
,
Louisiana - Grant,4
,
Louisiana - Iberia,6
,
Louisiana - Iberville,7
,
Louisiana - Jackson,2
,
Louisiana - Jefferson,12
,
Louisiana - Jefferson Davis,10
,
Louisiana - Lafayette,12
,
Louisiana - Lafourche,13
,
Louisiana - La Salle,5
,
Louisiana - Lincoln,6
,
Louisiana - Livingston,10
,
Louisiana - Madison,6
,
Louisiana - Morehouse,1
,
Louisiana - Natchitoches,3
,
Louisiana - Orleans,20
,
Louisiana - Ouachita,7
,
Louisiana - Pointe Coupee,5
,
Louisiana - Rapides,9
,
Louisiana - Red River,1
,
Louisiana - Richland,4
,
,
,
Louisiana - Sabine,6
,
Louisiana - St. Bernard,3
,
Louisiana - St. Charles,5
,
Louisiana - St. Helena,3
,
Louisiana - St. James,4
,
Louisiana - St. John the Baptist,5
,
Louisiana - St. Landry,10
,
Louisiana - St. Martin,8
,
Louisiana - St. Mary,3
,
Louisiana - St. Tammany,19
,
Louisiana - Tangipahoa,15
,
Louisiana - Tensas,1
,
Louisiana - Terrebonne,3
,
Louisiana - Union,5
,
Louisiana - Vermilion,2
,
Louisiana - Vernon,4
,
Louisiana - Washington,8
,
Louisiana - Webster,8
,
Louisiana - West Baton Rouge,13
,
Louisiana - West Feliciana,2
,
Louisiana - Winn,3
,
Maine - Androscoggin,5
,
Maine - Aroostook,3
,
Maine - Cumberland,15
,
Maine - Franklin,5
,
Maine - Hancock,3
,
Maine - Kennebec,4
,
Maine - Knox,3
,
,
,
Maine - Lincoln,4
,
Maine - Oxford,5
,
Maine - Penobscot,3
,
Maine - Piscataquis,1
,
Maine - Sagadahoc,3
,
Maine - Somerset,3
,
Maine - Waldo,3
,
Maine - Washington,5
,
Maine - York,8
,
Maryland - Allegany,2
,
Maryland - Anne Arundel,17
,
Maryland - Baltimore County,31
,
Maryland - Calvert,3
,
Maryland - Caroline,9
,
Maryland - Carroll,10
,
Maryland - Cecil,15
,
Maryland - Charles,5
,
Maryland - Dorchester,1
,
Maryland - Frederick,24
,
Maryland - Garrett,4
,
Maryland - Harford,16
,
Maryland - Howard,13
,
Maryland - Kent,2
,
Maryland - Montgomery,11
,
Maryland - Prince George's,43
,
Maryland - Queen Anne's,8
,
Maryland - St. Mary's,6
,
Maryland - Somerset,5
,
Maryland - Talbot,4
,
,
,
Maryland - Washington,16
,
Maryland - Wicomico,6
,
Maryland - Worcester,4
,
Maryland - Baltimore City,15
,
Massachusetts - Barnstable,4
,
Massachusetts - Berkshire,7
,
Massachusetts - Bristol,11
,
Massachusetts - Essex,12
,
Massachusetts - Franklin,5
,
Massachusetts - Hampden,11
,
Massachusetts - Hampshire,4
,
Massachusetts - Middlesex,25
,
Massachusetts - Norfolk,10
,
Massachusetts - Plymouth,12
,
Massachusetts - Suffolk,14
,
Massachusetts - Worcester,30
,
Michigan - Allegan,9
,
Michigan - Alpena,2
,
Michigan - Antrim,2
,
Michigan - Barry,2
,
Michigan - Bay,5
,
Michigan - Benzie,2
,
Michigan - Berrien,9
,
Michigan - Branch,4
,
Michigan - Calhoun,10
,
Michigan - Cass,6
,
Michigan - Cheboygan,2
,
,
,
Michigan - Chippewa,1
,
Michigan - Clinton,4
,
Michigan - Delta,4
,
Michigan - Eaton,4
,
Michigan - Emmet,2
,
Michigan - Genesee,15
,
Michigan - Gladwin,1
,
Michigan - Grand Traverse,6
,
Michigan - Gratiot,1
,
Michigan - Hillsdale,6
,
Michigan - Houghton,4
,
Michigan - Huron,1
,
Michigan - Ingham,6
,
Michigan - Ionia,3
,
Michigan - Iosco,2
,
Michigan - Iron,1
,
Michigan - Isabella,2
,
Michigan - Jackson,8
,
Michigan - Kalamazoo,11
,
Michigan - Kalkaska,4
,
Michigan - Kent,25
,
Michigan - Lapeer,3
,
Michigan - Leelanau,2
,
Michigan - Lenawee,9
,
Michigan - Livingston,9
,
Michigan - Luce,1
,
Michigan - Mackinac,2
,
Michigan - Macomb,12
,
Michigan - Manistee,1
,
Michigan - Marquette,3
,
,
,
Michigan - Mason,3
,
Michigan - Mecosta,1
,
Michigan - Menominee,3
,
Michigan - Midland,3
,
Michigan - Missaukee,3
,
Michigan - Monroe,19
,
Michigan - Montcalm,6
,
Michigan - Muskegon,6
,
Michigan - Newaygo,3
,
Michigan - Oakland,22
,
Michigan - Oceana,2
,
Michigan - Ogemaw,1
,
Michigan - Ontonagon,2
,
Michigan - Otsego,5
,
Michigan - Ottawa,10
,
Michigan - Saginaw,11
,
Michigan - St. Clair,8
,
Michigan - St. Joseph,10
,
Michigan - Sanilac,4
,
Michigan - Schoolcraft,1
,
Michigan - Shiawassee,3
,
Michigan - Tuscola,5
,
Michigan - Van Buren,8
,
Michigan - Washtenaw,15
,
Michigan - Wayne,65
,
Michigan - Wexford,6
,
Minnesota - Aitkin,1
,
Minnesota - Anoka,11
,
Minnesota - Becker,1
,
,
,
Minnesota - Beltrami,1
,
Minnesota - Benton,5
,
Minnesota - Blue Earth,7
,
Minnesota - Brown,3
,
Minnesota - Carlton,3
,
Minnesota - Carver,1
,
Minnesota - Cass,1
,
Minnesota - Chippewa,3
,
Minnesota - Chisago,1
,
Minnesota - Clay,6
,
Minnesota - Clearwater,1
,
Minnesota - Cottonwood,4
,
Minnesota - Crow Wing,4
,
Minnesota - Dakota,12
,
Minnesota - Douglas,2
,
Minnesota - Faribault,1
,
Minnesota - Fillmore,2
,
Minnesota - Freeborn,3
,
Minnesota - Goodhue,6
,
Minnesota - Grant,3
,
Minnesota - Hennepin,23
,
Minnesota - Houston,2
,
Minnesota - Hubbard,1
,
Minnesota - Isanti,7
,
Minnesota - Itasca,2
,
Minnesota - Kanabec,1
,
Minnesota - Kandiyohi,6
,
Minnesota - Koochiching,1
,
,
,
Minnesota - Lac qui Parle,1
,
Minnesota - Lake,1
,
Minnesota - Le Sueur,1
,
Minnesota - Lincoln,1
,
Minnesota - Lyon,1
,
Minnesota - McLeod,3
,
Minnesota - Mahnomen,1
,
Minnesota - Marshall,2
,
Minnesota - Meeker,1
,
Minnesota - Mille Lacs,3
,
Minnesota - Morrison,5
,
Minnesota - Mower,4
,
Minnesota - Murray,1
,
Minnesota - Nicollet,2
,
Minnesota - Nobles,3
,
Minnesota - Norman,2
,
Minnesota - Olmsted,5
,
Minnesota - Otter Tail,4
,
Minnesota - Pennington,2
,
Minnesota - Pine,5
,
Minnesota - Pipestone,1
,
Minnesota - Polk,7
,
Minnesota - Ramsey,2
,
Minnesota - Redwood,5
,
Minnesota - Renville,5
,
Minnesota - Rice,5
,
Minnesota - Rock,5
,
Minnesota - Roseau,3
,
Minnesota - St. Louis,8
,
,
,
Minnesota - Scott,5
,
Minnesota - Sherburne,1
,
Minnesota - Sibley,2
,
Minnesota - Stearns,10
,
Minnesota - Steele,3
,
Minnesota - Swift,2
,
Minnesota - Todd,3
,
Minnesota - Wabasha,3
,
Minnesota - Wadena,3
,
Minnesota - Waseca,3
,
Minnesota - Washington,7
,
Minnesota - Watonwan,1
,
Minnesota - Winona,2
,
Minnesota - Wright,8
,
Minnesota - Yellow Medicine,3
,
Mississippi - Alcorn,3
,
Mississippi - Amite,7
,
Mississippi - Attala,2
,
Mississippi - Benton,6
,
Mississippi - Bolivar,3
,
Mississippi - Carroll,2
,
Mississippi - Chickasaw,5
,
Mississippi - Claiborne,1
,
Mississippi - Clarke,4
,
Mississippi - Clay,1
,
Mississippi - Coahoma,5
,
Mississippi - Copiah,14
,
Mississippi - Covington,12
,
,
,
Mississippi - DeSoto,11
,
Mississippi - Forrest,15
,
Mississippi - Franklin,5
,
Mississippi - George,5
,
Mississippi - Greene,2
,
Mississippi - Grenada,4
,
Mississippi - Hancock,5
,
Mississippi - Harrison,5
,
Mississippi - Hinds,18
,
Mississippi - Holmes,2
,
Mississippi - Humphreys,3
,
Mississippi - Itawamba,6
,
Mississippi - Jackson,16
,
Mississippi - Jasper,7
,
Mississippi - Jefferson,1
,
Mississippi - Jefferson Davis,1
,
Mississippi - Jones,11
,
Mississippi - Lafayette,5
,
Mississippi - Lamar,3
,
Mississippi - Lauderdale,8
,
Mississippi - Lawrence,1
,
Mississippi - Leake,2
,
Mississippi - Lee,8
,
Mississippi - Leflore,3
,
Mississippi - Lincoln,5
,
Mississippi - Lowndes,10
,
Mississippi - Madison,9
,
,
,
Mississippi - Marion,6
,
Mississippi - Marshall,14
,
Mississippi - Monroe,1
,
Mississippi - Montgomery,3
,
Mississippi - Neshoba,6
,
Mississippi - Newton,2
,
Mississippi - Noxubee,2
,
Mississippi - Oktibbeha,1
,
Mississippi - Panola,4
,
Mississippi - Pearl River,11
,
Mississippi - Perry,4
,
Mississippi - Pike,6
,
Mississippi - Pontotoc,5
,
Mississippi - Prentiss,3
,
Mississippi - Rankin,14
,
Mississippi - Scott,10
,
Mississippi - Simpson,4
,
Mississippi - Smith,4
,
Mississippi - Stone,2
,
Mississippi - Sunflower,4
,
Mississippi - Tate,3
,
Mississippi - Tippah,3
,
Mississippi - Tishomingo,4
,
Mississippi - Tunica,2
,
Mississippi - Union,5
,
Mississippi - Walthall,2
,
Mississippi - Warren,7
,
,
,
Mississippi - Washington,6
,
Mississippi - Wayne,6
,
Mississippi - Wilkinson,5
,
Mississippi - Winston,3
,
Mississippi - Yalobusha,5
,
Mississippi - Yazoo,6
,
Missouri - Adair,2
,
Missouri - Andrew,4
,
Missouri - Audrain,6
,
Missouri - Barry,2
,
Missouri - Barton,1
,
Missouri - Bates,5
,
Missouri - Benton,2
,
Missouri - Bollinger,1
,
Missouri - Boone,17
,
Missouri - Buchanan,5
,
Missouri - Butler,4
,
Missouri - Caldwell,2
,
Missouri - Callaway,5
,
Missouri - Camden,5
,
Missouri - Cape Girardeau,6
,
Missouri - Carroll,1
,
Missouri - Carter,2
,
Missouri - Cass,9
,
Missouri - Cedar,3
,
Missouri - Christian,3
,
Missouri - Clark,2
,
Missouri - Clay,12
,
Missouri - Clinton,1
,
,
,
Missouri - Cole,1
,
Missouri - Cooper,3
,
Missouri - Crawford,1
,
Missouri - Dade,2
,
Missouri - Dallas,2
,
Missouri - Daviess,2
,
Missouri - DeKalb,5
,
Missouri - Dent,2
,
Missouri - Douglas,1
,
Missouri - Dunklin,4
,
Missouri - Franklin,17
,
Missouri - Gasconade,4
,
Missouri - Gentry,1
,
Missouri - Greene,19
,
Missouri - Grundy,2
,
Missouri - Harrison,4
,
Missouri - Henry,2
,
Missouri - Holt,1
,
Missouri - Howell,4
,
Missouri - Jackson,36
,
Missouri - Jasper,13
,
Missouri - Jefferson,11
,
Missouri - Johnson,9
,
Missouri - Knox,2
,
Missouri - Laclede,7
,
Missouri - Lafayette,3
,
Missouri - Lawrence,16
,
Missouri - Lincoln,6
,
Missouri - Linn,4
,
Missouri - McDonald,5
,
,
,
Missouri - Macon,2
,
Missouri - Madison,1
,
Missouri - Marion,2
,
Missouri - Mercer,1
,
Missouri - Miller,4
,
Missouri - Mississippi,3
,
Missouri - Moniteau,5
,
Missouri - Monroe,1
,
Missouri - Montgomery,5
,
Missouri - Morgan,3
,
Missouri - New Madrid,9
,
Missouri - Newton,6
,
Missouri - Nodaway,2
,
Missouri - Oregon,1
,
Missouri - Osage,2
,
Missouri - Pemiscot,5
,
Missouri - Perry,5
,
Missouri - Pettis,8
,
Missouri - Phelps,16
,
Missouri - Pike,2
,
Missouri - Platte,10
,
Missouri - Polk,1
,
Missouri - Pulaski,3
,
Missouri - Putnam,2
,
Missouri - Ralls,3
,
Missouri - Randolph,1
,
Missouri - Ray,1
,
Missouri - Reynolds,1
,
Missouri - Ripley,2
,
Missouri - St. Charles,13
,
,
,
Missouri - St. Clair,1
,
Missouri - Ste. Genevieve,4
,
Missouri - St. Louis County,30
,
Missouri - Saline,5
,
Missouri - Scotland,2
,
Missouri - Scott,3
,
Missouri - Shannon,1
,
Missouri - Stoddard,1
,
Missouri - Stone,1
,
Missouri - Sullivan,2
,
Missouri - Taney,8
,
Missouri - Texas,4
,
Missouri - Vernon,4
,
Missouri - Warren,4
,
Missouri - Washington,5
,
Missouri - Wayne,1
,
Missouri - Webster,4
,
Missouri - Wright,1
,
Missouri - St. Louis city,19
,
Montana - Beaverhead,2
,
Montana - Big Horn,5
,
Montana - Blaine,1
,
Montana - Broadwater,3
,
Montana - Carbon,1
,
Montana - Cascade,4
,
Montana - Chouteau,3
,
Montana - Daniels,1
,
Montana - Deer Lodge,1
,
Montana - Fergus,2
,
,
,
Montana - Flathead,7
,
Montana - Gallatin,8
,
Montana - Garfield,1
,
Montana - Glacier,3
,
Montana - Granite,2
,
Montana - Hill,1
,
Montana - Jefferson,2
,
Montana - Lake,2
,
Montana - Lewis and Clark,2
,
Montana - Madison,3
,
Montana - Meagher,1
,
Montana - Mineral,2
,
Montana - Missoula,3
,
Montana - Park,1
,
Montana - Powder River,1
,
Montana - Richland,1
,
Montana - Roosevelt,1
,
Montana - Rosebud,5
,
Montana - Sanders,2
,
Montana - Sheridan,1
,
Montana - Silver Bow,1
,
Montana - Teton,1
,
Montana - Yellowstone,9
,
Nebraska - Adams,2
,
Nebraska - Antelope,2
,
Nebraska - Blaine,1
,
Nebraska - Boone,1
,
Nebraska - Box Butte,1
,
Nebraska - Brown,1
,
Nebraska - Buffalo,6
,
,
,
Nebraska - Burt,1
,
Nebraska - Butler,1
,
Nebraska - Cass,6
,
Nebraska - Cedar,2
,
Nebraska - Chase,2
,
Nebraska - Cherry,2
,
Nebraska - Cheyenne,1
,
Nebraska - Clay,2
,
Nebraska - Colfax,3
,
Nebraska - Cuming,1
,
Nebraska - Custer,2
,
Nebraska - Dakota,2
,
Nebraska - Dawes,1
,
Nebraska - Dawson,6
,
Nebraska - Deuel,2
,
Nebraska - Dixon,1
,
Nebraska - Dodge,8
,
Nebraska - Douglas,25
,
Nebraska - Fillmore,1
,
Nebraska - Frontier,1
,
Nebraska - Gage,1
,
Nebraska - Gosper,1
,
Nebraska - Grant,1
,
Nebraska - Hall,5
,
Nebraska - Hamilton,2
,
Nebraska - Harlan,2
,
Nebraska - Hitchcock,1
,
Nebraska - Holt,2
,
Nebraska - Howard,1
,
Nebraska - Jefferson,1
,
Nebraska - Johnson,1
,
,
,
Nebraska - Keith,5
,
Nebraska - Kimball,2
,
Nebraska - Lancaster,10
,
Nebraska - Lincoln,11
,
Nebraska - Logan,1
,
Nebraska - Loup,1
,
Nebraska - Madison,3
,
Nebraska - Merrick,3
,
Nebraska - Morrill,5
,
Nebraska - Nemaha,1
,
Nebraska - Otoe,3
,
Nebraska - Phelps,2
,
Nebraska - Pierce,6
,
Nebraska - Platte,2
,
Nebraska - Red Willow,1
,
Nebraska - Richardson,1
,
Nebraska - Saline,1
,
Nebraska - Sarpy,5
,
Nebraska - Saunders,3
,
Nebraska - Scotts Bluff,5
,
Nebraska - Seward,8
,
Nebraska - Sheridan,1
,
Nebraska - Sherman,1
,
Nebraska - Stanton,2
,
Nebraska - Thayer,2
,
Nebraska - Thurston,1
,
Nebraska - Washington,1
,
Nebraska - Wayne,2
,
Nebraska - York,7
,
Nevada - Churchill,7
,
,
,
Nevada - Clark,63
,
Nevada - Douglas,4
,
Nevada - Elko,10
,
Nevada - Esmeralda,3
,
Nevada - Eureka,2
,
Nevada - Humboldt,5
,
Nevada - Lander,2
,
Nevada - Lincoln,2
,
Nevada - Lyon,4
,
Nevada - Mineral,2
,
Nevada - Nye,4
,
Nevada - Pershing,1
,
Nevada - Storey,1
,
Nevada - Washoe,10
,
Nevada - White Pine,3
,
New Hampshire - Belknap,4
,
New Hampshire - Carroll,7
,
New Hampshire - Cheshire,2
,
New Hampshire - Coos,4
,
New Hampshire - Grafton,5
,
New Hampshire - Hillsborough,11
,
New Hampshire - Merrimack,8
,
New Hampshire - Rockingham,8
,
New Hampshire - Strafford,4
,
New Hampshire - Sullivan,3
,
New Jersey - Atlantic,9
,
New Jersey - Bergen,30
,
New Jersey - Burlington,28
,
,
,
New Jersey - Camden,17
,
New Jersey - Cape May,4
,
New Jersey - Cumberland,8
,
New Jersey - Essex,16
,
New Jersey - Gloucester,19
,
New Jersey - Hudson,20
,
New Jersey - Hunterdon,7
,
New Jersey - Mercer,15
,
New Jersey - Middlesex,27
,
New Jersey - Monmouth,11
,
New Jersey - Morris,20
,
New Jersey - Ocean,16
,
New Jersey - Passaic,4
,
New Jersey - Salem,8
,
New Jersey - Somerset,12
,
New Jersey - Sussex,5
,
New Jersey - Union,19
,
New Jersey - Warren,8
,
New Mexico - Bernalillo,22
,
New Mexico - Chaves,8
,
New Mexico - Cibola,14
,
New Mexico - Colfax,2
,
New Mexico - Curry,2
,
New Mexico - De Baca,2
,
New Mexico - Doña Ana,9
,
New Mexico - Eddy,25
,
New Mexico - Grant,3
,
New Mexico - Guadalupe,12
,
,
,
New Mexico - Harding,1
,
New Mexico - Hidalgo,9
,
New Mexico - Lea,40
,
New Mexico - Lincoln,4
,
New Mexico - Los Alamos,1
,
New Mexico - Luna,3
,
New Mexico - McKinley,15
,
New Mexico - Mora,1
,
New Mexico - Otero,5
,
New Mexico - Quay,7
,
New Mexico - Rio Arriba,3
,
New Mexico - Roosevelt,6
,
New Mexico - Sandoval,4
,
New Mexico - San Juan,20
,
New Mexico - San Miguel,3
,
New Mexico - Santa Fe,5
,
New Mexico - Socorro,2
,
New Mexico - Taos,1
,
New Mexico - Torrance,11
,
New Mexico - Valencia,3
,
New York - Albany,14
,
New York - Allegany,3
,
New York - Bronx,29
,
New York - Broome,5
,
New York - Cattaraugus,5
,
New York - Cayuga,5
,
New York - Chautauqua,6
,
New York - Chemung,6
,
,
,
New York - Chenango,3
,
New York - Clinton,6
,
New York - Columbia,5
,
New York - Cortland,4
,
New York - Delaware,5
,
New York - Dutchess,7
,
New York - Erie,19
,
New York - Essex,1
,
New York - Franklin,1
,
New York - Fulton,1
,
New York - Genesee,12
,
New York - Greene,3
,
New York - Hamilton,1
,
New York - Herkimer,4
,
New York - Jefferson,4
,
New York - Kings,44
,
New York - Lewis,4
,
New York - Livingston,5
,
New York - Madison,1
,
New York - Monroe,14
,
New York - Montgomery,6
,
New York - Nassau,32
,
New York - New York,38
,
New York - Niagara,6
,
New York - Oneida,11
,
New York - Onondaga,14
,
New York - Ontario,5
,
New York - Orange,18
,
New York - Orleans,2
,
,
,
New York - Oswego,8
,
New York - Otsego,3
,
New York - Putnam,5
,
New York - Queens,25
,
New York - Rensselaer,7
,
New York - Richmond,4
,
New York - Rockland,5
,
New York - St. Lawrence,2
,
New York - Saratoga,12
,
New York - Schenectady,1
,
New York - Schoharie,1
,
New York - Schuyler,2
,
New York - Seneca,2
,
New York - Steuben,7
,
New York - Suffolk,36
,
New York - Sullivan,6
,
New York - Tioga,2
,
New York - Tompkins,5
,
New York - Ulster,6
,
New York - Warren,6
,
New York - Washington,5
,
New York - Wayne,6
,
New York - Westchester,14
,
New York - Wyoming,6
,
New York - Yates,2
,
North Carolina - Alamance,8
,
North Carolina - Alexander,2
,
North Carolina - Alleghany,1
,
,
,
North Carolina - Anson,2
,
North Carolina - Ashe,1
,
North Carolina - Beaufort,6
,
North Carolina - Bertie,5
,
North Carolina - Bladen,9
,
North Carolina - Brunswick,8
,
North Carolina - Buncombe,12
,
North Carolina - Burke,7
,
North Carolina - Cabarrus,7
,
North Carolina - Caldwell,3
,
North Carolina - Camden,1
,
North Carolina - Carteret,3
,
North Carolina - Caswell,2
,
North Carolina - Catawba,9
,
North Carolina - Chatham,3
,
North Carolina - Cherokee,2
,
North Carolina - Clay,2
,
North Carolina - Cleveland,8
,
North Carolina - Columbus,16
,
North Carolina - Craven,8
,
North Carolina - Cumberland,14
,
North Carolina - Currituck,3
,
North Carolina - Dare,3
,
North Carolina - Davidson,14
,
North Carolina - Davie,5
,
,
,
North Carolina - Duplin,7
,
North Carolina - Durham,11
,
North Carolina - Edgecombe,6
,
North Carolina - Forsyth,21
,
North Carolina - Franklin,4
,
North Carolina - Gaston,20
,
North Carolina - Gates,1
,
North Carolina - Graham,1
,
North Carolina - Granville,13
,
North Carolina - Greene,3
,
North Carolina - Guilford,32
,
North Carolina - Halifax,7
,
North Carolina - Harnett,10
,
North Carolina - Haywood,3
,
North Carolina - Henderson,7
,
North Carolina - Hertford,5
,
North Carolina - Hoke,5
,
North Carolina - Hyde,1
,
North Carolina - Iredell,10
,
North Carolina - Jackson,1
,
North Carolina - Johnston,16
,
North Carolina - Jones,1
,
North Carolina - Lee,8
,
North Carolina - Lenoir,7
,
North Carolina - Lincoln,7
,
,
,
North Carolina - McDowell,6
,
North Carolina - Macon,2
,
North Carolina - Madison,2
,
North Carolina - Martin,1
,
North Carolina - Mecklenburg,49
,
North Carolina - Montgomery,4
,
North Carolina - Moore,6
,
North Carolina - Nash,9
,
North Carolina - New Hanover,6
,
North Carolina - Northampton,5
,
North Carolina - Onslow,4
,
North Carolina - Orange,7
,
North Carolina - Pasquotank,3
,
North Carolina - Pender,12
,
North Carolina - Person,3
,
North Carolina - Pitt,6
,
North Carolina - Polk,2
,
North Carolina - Randolph,9
,
North Carolina - Richmond,7
,
North Carolina - Robeson,22
,
North Carolina - Rockingham,9
,
North Carolina - Rowan,13
,
North Carolina - Rutherford,2
,
North Carolina - Sampson,10
,
North Carolina - Scotland,3
,
,
,
North Carolina - Stanly,8
,
North Carolina - Surry,9
,
North Carolina - Transylvania,1
,
North Carolina - Union,17
,
North Carolina - Vance,2
,
North Carolina - Wake,27
,
North Carolina - Warren,5
,
North Carolina - Washington,1
,
North Carolina - Watauga,4
,
North Carolina - Wayne,14
,
North Carolina - Wilkes,5
,
North Carolina - Wilson,4
,
North Carolina - Yadkin,3
,
North Carolina - Yancey,1
,
North Dakota - Billings,1
,
North Dakota - Bowman,1
,
North Dakota - Burke,2
,
North Dakota - Cass,7
,
North Dakota - Cavalier,1
,
North Dakota - Dunn,6
,
North Dakota - Emmons,2
,
North Dakota - Grand Forks,10
,
North Dakota - Kidder,1
,
North Dakota - LaMoure,4
,
North Dakota - McHenry,3
,
North Dakota - McKenzie,35
,
,
,
North Dakota - McLean,1
,
North Dakota - Morton,1
,
North Dakota - Mountrail,8
,
North Dakota - Pembina,1
,
North Dakota - Pierce,1
,
North Dakota - Ramsey,2
,
North Dakota - Richland,3
,
North Dakota - Slope,1
,
North Dakota - Stark,7
,
North Dakota - Stutsman,5
,
North Dakota - Traill,1
,
North Dakota - Walsh,4
,
North Dakota - Ward,10
,
North Dakota - Williams,20
,
Ohio - Adams,5
,
Ohio - Allen,7
,
Ohio - Ashland,7
,
Ohio - Ashtabula,7
,
Ohio - Athens,4
,
Ohio - Auglaize,6
,
Ohio - Belmont,9
,
Ohio - Brown,3
,
Ohio - Butler,19
,
Ohio - Carroll,6
,
Ohio - Champaign,1
,
Ohio - Clark,6
,
Ohio - Clermont,3
,
Ohio - Clinton,3
,
Ohio - Columbiana,3
,
Ohio - Coshocton,2
,
,
,
Ohio - Crawford,5
,
Ohio - Cuyahoga,30
,
Ohio - Darke,6
,
Ohio - Defiance,4
,
Ohio - Delaware,14
,
Ohio - Erie,8
,
Ohio - Fairfield,5
,
Ohio - Fayette,9
,
Ohio - Franklin,37
,
Ohio - Fulton,13
,
Ohio - Gallia,1
,
Ohio - Geauga,10
,
Ohio - Greene,4
,
Ohio - Guernsey,3
,
Ohio - Hamilton,18
,
Ohio - Hancock,9
,
Ohio - Hardin,7
,
Ohio - Harrison,4
,
Ohio - Henry,12
,
Ohio - Highland,1
,
Ohio - Hocking,2
,
Ohio - Holmes,2
,
Ohio - Huron,9
,
Ohio - Jackson,4
,
Ohio - Jefferson,2
,
Ohio - Knox,3
,
Ohio - Lake,2
,
Ohio - Licking,19
,
Ohio - Logan,5
,
Ohio - Lorain,16
,
Ohio - Lucas,20
,
Ohio - Madison,10
,
Ohio - Mahoning,20
,
Ohio - Marion,7
,
,
,
Ohio - Medina,12
,
Ohio - Meigs,5
,
Ohio - Mercer,8
,
Ohio - Miami,8
,
Ohio - Monroe,1
,
Ohio - Montgomery,21
,
Ohio - Morgan,2
,
Ohio - Morrow,11
,
Ohio - Muskingum,9
,
Ohio - Noble,2
,
Ohio - Ottawa,1
,
Ohio - Paulding,5
,
Ohio - Pickaway,6
,
Ohio - Pike,7
,
Ohio - Portage,15
,
Ohio - Preble,6
,
Ohio - Putnam,2
,
Ohio - Richland,6
,
Ohio - Ross,7
,
Ohio - Sandusky,15
,
Ohio - Scioto,3
,
Ohio - Seneca,6
,
Ohio - Shelby,8
,
Ohio - Stark,22
,
Ohio - Summit,14
,
Ohio - Trumbull,10
,
Ohio - Tuscarawas,7
,
Ohio - Union,8
,
Ohio - Van Wert,5
,
Ohio - Vinton,1
,
Ohio - Warren,10
,
Ohio - Washington,4
,
Ohio - Wayne,11
,
Ohio - Williams,9
,
,
,
Ohio - Wood,22
,
Ohio - Wyandot,5
,
Oklahoma - Adair,3
,
Oklahoma - Alfalfa,3
,
Oklahoma - Atoka,10
,
Oklahoma - Beaver,5
,
Oklahoma - Beckham,10
,
Oklahoma - Blaine,13
,
Oklahoma - Bryan,18
,
Oklahoma - Caddo,12
,
Oklahoma - Canadian,20
,
Oklahoma - Carter,14
,
Oklahoma - Cherokee,2
,
Oklahoma - Choctaw,2
,
Oklahoma - Cimarron,3
,
Oklahoma - Cleveland,10
,
Oklahoma - Coal,1
,
Oklahoma - Comanche,6
,
Oklahoma - Cotton,1
,
Oklahoma - Craig,5
,
Oklahoma - Creek,13
,
Oklahoma - Custer,6
,
Oklahoma - Delaware,4
,
Oklahoma - Dewey,5
,
Oklahoma - Ellis,1
,
Oklahoma - Garfield,7
,
Oklahoma - Garvin,13
,
Oklahoma - Grady,27
,
Oklahoma - Grant,2
,
Oklahoma - Greer,3
,
,
,
Oklahoma - Harmon,2
,
Oklahoma - Harper,3
,
Oklahoma - Haskell,4
,
Oklahoma - Hughes,3
,
Oklahoma - Jackson,2
,
Oklahoma - Johnston,4
,
Oklahoma - Kay,4
,
Oklahoma - Kingfisher,13
,
Oklahoma - Le Flore,9
,
Oklahoma - Lincoln,7
,
Oklahoma - Logan,7
,
Oklahoma - Love,3
,
Oklahoma - McClain,13
,
Oklahoma - McCurtain,7
,
Oklahoma - McIntosh,1
,
Oklahoma - Major,7
,
Oklahoma - Marshall,4
,
Oklahoma - Mayes,11
,
Oklahoma - Murray,6
,
Oklahoma - Muskogee,11
,
Oklahoma - Noble,7
,
Oklahoma - Nowata,3
,
Oklahoma - Okfuskee,3
,
Oklahoma - Oklahoma,49
,
Oklahoma - Okmulgee,5
,
Oklahoma - Osage,5
,
Oklahoma - Ottawa,11
,
Oklahoma - Pawnee,2
,
Oklahoma - Payne,10
,
Oklahoma - Pittsburg,12
,
,
,
Oklahoma - Pontotoc,13
,
Oklahoma - Pottawatomie,13
,
Oklahoma - Pushmataha,2
,
Oklahoma - Roger Mills,2
,
Oklahoma - Rogers,12
,
Oklahoma - Seminole,9
,
Oklahoma - Sequoyah,5
,
Oklahoma - Stephens,4
,
Oklahoma - Texas,6
,
Oklahoma - Tillman,2
,
Oklahoma - Tulsa,20
,
Oklahoma - Wagoner,3
,
Oklahoma - Washington,4
,
Oklahoma - Washita,1
,
Oklahoma - Woods,3
,
Oklahoma - Woodward,4
,
Oregon - Baker,6
,
Oregon - Benton,4
,
Oregon - Clackamas,11
,
Oregon - Clatsop,1
,
Oregon - Columbia,4
,
Oregon - Coos,3
,
Oregon - Crook,3
,
Oregon - Curry,2
,
Oregon - Deschutes,13
,
Oregon - Douglas,18
,
Oregon - Gilliam,2
,
Oregon - Grant,2
,
Oregon - Harney,3
,
