fips,Total
,
Arkansas - Desha,3
,
Arkansas - Drew,4
,
Arkansas - Faulkner,7
,
Arkansas - Franklin,5
,
Arkansas - Fulton,3
,
Arkansas - Garland,5
,
Arkansas - Grant,6
,
Arkansas - Greene,9
,
Arkansas - Hempstead,9
,
Arkansas - Hot Spring,11
,
Arkansas - Howard,3
,
Arkansas - Independence,2
,
Arkansas - Jackson,3
,
Arkansas - Jefferson,3
,
Arkansas - Johnson,3
,
Arkansas - Lafayette,1
,
Arkansas - Lawrence,7
,
Arkansas - Lincoln,1
,
Arkansas - Little River,3
,
Arkansas - Logan,2
,
Arkansas - Lonoke,10
,
Arkansas - Madison,1
,
Arkansas - Marion,1
,
Arkansas - Miller,13
,
Arkansas - Mississippi,7
,
Arkansas - Monroe,5
,
Arkansas - Montgomery,3
,
Arkansas - Nevada,2
,
Arkansas - Newton,1
,
Arkansas - Ouachita,3
,
Arkansas - Perry,1
,
Arkansas - Phillips,4
,
Arkansas - Pike,2
,
Arkansas - Poinsett,3
,
Arkansas - Polk,6
,
Arkansas - Pope,6
,
Arkansas - Prairie,5
,
Arkansas - Pulaski,25
,
Arkansas - Randolph,5
,
Arkansas - St. Francis,13
,
Arkansas - Saline,3
,
Arkansas - Scott,1
,
Arkansas - Searcy,2
,
Arkansas - Sebastian,4
,
Arkansas - Sevier,4
,
Arkansas - Sharp,3
,
Arkansas - Union,10
,
Arkansas - Van Buren,6
,
Arkansas - Washington,4
,
Arkansas - White,4
,
Arkansas - Woodruff,2
,
Arkansas - Yell,5
,
California - Alameda,33
,
California - Alpine,3
,
California - Amador,5
,
California - Butte,9
,
California - Calaveras,9
,
California - Colusa,6
,
California - Contra Costa,25
,
California - Del Norte,3
,
California - El Dorado,4
,
California - Fresno,67
,
California - Glenn,5
,
California - Humboldt,11
,
California - Imperial,26
,
California - Inyo,2
,
California - Kern,110
,
California - Kings,24
,
California - Lake,5
,
California - Lassen,6
,
California - Los Angeles,240
,
California - Madera,14
,
California - Marin,7
,
California - Mariposa,2
,
California - Mendocino,11
,
California - Merced,41
,
California - Modoc,1
,
California - Mono,2
,
California - Monterey,20
,
California - Napa,8
,
California - Nevada,3
,
California - Orange,55
,
California - Placer,10
,
California - Plumas,3
,
California - Riverside,109
,
California - Sacramento,55
,
California - San Benito,4
,
California - San Bernardino,161
,
California - San Diego,59
,
California - San Francisco,11
,
California - San Joaquin,60
,
California - San Luis Obispo,16
,
California - San Mateo,11
,
California - Santa Barbara,14
,
California - Santa Clara,37
,
California - Santa Cruz,6
,
California - Shasta,16
,
California - Siskiyou,9
,
California - Solano,15
,
California - Sonoma,20
,
California - Stanislaus,34
,
California - Sutter,14
,
California - Tehama,12
,
California - Trinity,1
,
California - Tulare,43
,
California - Tuolumne,2
,
California - Ventura,22
,
California - Yolo,19
,
California - Yuba,4
,
Colorado - Adams,27
,
Colorado - Alamosa,4
,
Colorado - Arapahoe,15
,
Colorado - Archuleta,3
,
Colorado - Baca,4
,
Colorado - Bent,1
,
Colorado - Boulder,14
,
Colorado - Broomfield,1
,
Colorado - Chaffee,2
,
Colorado - Cheyenne,1
,
Colorado - Clear Creek,1
,
Colorado - Conejos,1
,
Colorado - Costilla,5
,
Colorado - Crowley,1
,
Colorado - Custer,2
,
Colorado - Delta,3
,
Colorado - Denver,18
,
Colorado - Douglas,7
,
Colorado - Eagle,2
,
Colorado - Elbert,2
,
Colorado - El Paso,22
,
Colorado - Fremont,7
,
Colorado - Garfield,3
,
Colorado - Grand,4
,
Colorado - Gunnison,4
,
Colorado - Huerfano,2
,
Colorado - Jefferson,11
,
Colorado - Kiowa,2
,
Colorado - Kit Carson,5
,
Colorado - La Plata,4
,
Colorado - Larimer,28
,
Colorado - Las Animas,1
,
Colorado - Lincoln,3
,
Colorado - Logan,4
,
Colorado - Mesa,4
,
Colorado - Mineral,4
,
Colorado - Moffat,3
,
Colorado - Montezuma,3
,
Colorado - Montrose,1
,
Colorado - Morgan,7
,
Colorado - Otero,1
,
Colorado - Ouray,1
,
Colorado - Park,6
,
Colorado - Phillips,1
,
Colorado - Prowers,4
,
Colorado - Pueblo,13
,
Colorado - Rio Blanco,2
,
Colorado - Rio Grande,4
,
Colorado - Routt,3
,
Colorado - Saguache,2
,
Colorado - San Juan,1
,
Colorado - Sedgwick,1
,
Colorado - Summit,5
,
Colorado - Teller,1
,
Colorado - Washington,4
,
Colorado - Weld,69
,
Colorado - Yuma,4
,
